trip_distance,total_amount,tpep_pickup_datetime,PULocationID,DOLocationID,RatecodeID,payment_type,VendorID,target,prediction
3.8,21.95,2022-01-01 00:35:40,142,236,1.0,1,1,18.0,15
2.1,13.3,2022-01-01 00:33:43,236,42,1.0,1,1,8.0,8
0.97,10.56,2022-01-01 00:53:21,166,166,1.0,1,2,9.0,4
1.09,11.8,2022-01-01 00:25:21,114,68,1.0,2,2,10.0,9
4.3,30.3,2022-01-01 00:36:48,68,163,1.0,1,2,38.0,20
10.3,56.35,2022-01-01 00:40:15,138,161,1.0,1,1,30.0,22
5.07,26.0,2022-01-01 00:20:50,233,87,1.0,1,2,14.0,20
2.02,12.8,2022-01-01 00:13:04,238,152,1.0,2,2,10.0,10
2.71,18.05,2022-01-01 00:30:02,166,236,1.0,1,2,15.0,13
0.78,8.8,2022-01-01 00:48:52,236,141,1.0,2,2,5.0,4
1.91,12.3,2022-01-01 00:55:03,141,229,1.0,2,2,9.0,9
0.82,8.3,2022-01-01 00:31:06,114,90,1.0,2,2,3.0,4
0.73,8.3,2022-01-01 00:41:07,234,113,1.0,2,2,4.0,4
2.16,18.36,2022-01-01 00:56:34,246,79,1.0,1,2,16.0,13
1.43,13.56,2022-01-01 00:39:46,43,140,1.0,1,2,8.0,7
1.58,11.8,2022-01-01 00:58:06,239,151,1.0,2,2,8.0,9
4.2,20.75,2022-01-01 00:33:52,148,141,1.0,1,1,14.0,14
2.2,15.35,2022-01-01 00:53:54,237,107,1.0,1,1,11.0,9
0.2,6.3,2022-01-01 00:00:44,7,7,1.0,2,1,5.0,2
3.9,20.15,2022-01-01 00:35:50,107,263,1.0,1,1,13.0,13
3.2,17.75,2022-01-01 00:49:14,263,107,1.0,1,1,9.0,11
0.0,6.3,2022-01-01 00:06:10,161,161,1.0,4,1,3.0,1
1.2,12.95,2022-01-01 00:09:01,161,43,1.0,1,1,8.0,7
1.7,14.05,2022-01-01 00:30:06,239,24,1.0,1,1,8.0,8
